iso_code,continent,location,date,population,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million
CAN,North America,Canada,03/01/2020,38454328,,0,,,0,,,0,,,0,,,,,,,,,,
CAN,North America,Canada,04/01/2020,38454328,,0,,,0,,,0,,,0,,,,,,,,,,
CAN,North America,Canada,05/01/2020,38454328,,0,,,0,,,0,,,0,,,,,,,,,,
CAN,North America,Canada,06/01/2020,38454328,,0,,,0,,,0,,,0,,,,,,,,,,
CAN,North America,Canada,07/01/2020,38454328,,0,,,0,,,0,,,0,,,,,,,,,,
CAN,North America,Canada,08/01/2020,38454328,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
CAN,North America,Canada,09/01/2020,38454328,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
CAN,North America,Canada,10/01/2020,38454328,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
CAN,North America,Canada,11/01/2020,38454328,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
CAN,North America,Canada,12/01/2020,38454328,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
CAN,North America,Canada,13/01/2020,38454328,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
CAN,North America,Canada,14/01/2020,38454328,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
CAN,North America,Canada,15/01/2020,38454328,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
CAN,North America,Canada,16/01/2020,38454328,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
CAN,North America,Canada,17/01/2020,38454328,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
CAN,North America,Canada,18/01/2020,38454328,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
CAN,North America,Canada,19/01/2020,38454328,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
CAN,North America,Canada,20/01/2020,38454328,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
CAN,North America,Canada,21/01/2020,38454328,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
CAN,North America,Canada,22/01/2020,38454328,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
CAN,North America,Canada,23/01/2020,38454328,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
CAN,North America,Canada,24/01/2020,38454328,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
CAN,North America,Canada,25/01/2020,38454328,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
CAN,North America,Canada,26/01/2020,38454328,1,1,0.143,,0,0,0.026,0.026,0.004,,0,0,,,,,,,,,
CAN,North America,Canada,27/01/2020,38454328,1,0,0.143,,0,0,0.026,0,0.004,,0,0,,,,,,,,,
CAN,North America,Canada,28/01/2020,38454328,2,1,0.286,,0,0,0.052,0.026,0.007,,0,0,,,,,,,,,
CAN,North America,Canada,29/01/2020,38454328,2,0,0.286,,0,0,0.052,0,0.007,,0,0,,,,,,,,,
